customer_id,age,tenure_months,monthly_spend,support_calls,complaints,digital_engagement_score,payment_failed_flag,contract_type,product_count,region,churn_probability_true,churn
1,56,9,1747.65,0,1,49.8,0,Monthly,2,Gauteng,0.2397,0
2,69,37,2469.05,1,0,79.63,0,Quarterly,3,Western Cape,0.0922,0
3,46,74,601.64,3,0,66.39,0,Quarterly,1,KwaZulu-Natal,0.1031,0
4,32,36,1672.68,0,1,72.98,0,Monthly,5,Limpopo,0.0582,0
5,60,101,1543.72,1,0,30.74,0,Monthly,4,Eastern Cape,0.2071,0
6,25,92,2291.99,1,1,26.33,0,Monthly,4,Western Cape,0.0911,0
7,38,28,433.09,2,1,60.09,0,Monthly,4,Limpopo,0.1539,0
8,56,42,1891.91,0,0,20.01,0,Monthly,5,KwaZulu-Natal,0.1584,0
9,36,43,1442.26,0,2,81.54,0,Monthly,3,Eastern Cape,0.0835,0
10,40,85,722.93,0,0,52.29,1,Monthly,2,Western Cape,0.2095,0
11,28,88,1212.37,3,0,22.7,0,Monthly,1,KwaZulu-Natal,0.2144,0
12,28,42,867.75,3,1,62.52,0,Monthly,4,Gauteng,0.2016,0
13,41,104,1469.32,0,1,94.5,0,Annual,1,Limpopo,0.0176,0
14,70,66,2228.05,2,0,8.21,0,Annual,3,Limpopo,0.0515,0
15,53,55,1444.8,3,1,10.93,0,Monthly,2,Western Cape,0.3635,0
16,57,72,1597.72,5,2,84.38,0,Monthly,4,KwaZulu-Natal,0.5418,1
17,41,48,1320.93,3,0,10.96,0,Monthly,3,Eastern Cape,0.353,0
18,20,91,175.36,1,2,3.94,0,Monthly,2,Eastern Cape,0.1031,0
19,39,22,620.5,3,1,34.79,0,Monthly,4,Eastern Cape,0.2971,1
20,70,101,1255.4,2,2,46.67,0,Monthly,3,Eastern Cape,0.2496,0
21,19,27,810.08,0,0,56.94,0,Monthly,1,Western Cape,0.1241,0
22,41,93,495.32,2,1,50.73,0,Annual,5,Western Cape,0.0059,0
23,61,67,1285.13,4,0,91.32,0,Annual,4,Limpopo,0.0219,0
24,47,108,840.88,3,1,76.87,0,Annual,2,KwaZulu-Natal,0.0195,0
25,55,13,682.36,2,1,98.38,0,Monthly,2,Gauteng,0.1729,0
26,19,45,1186.76,3,0,47.65,0,Annual,5,Western Cape,0.041,0
27,38,10,376.55,3,0,8.43,0,Monthly,5,Eastern Cape,0.3136,0
28,50,100,2322.98,1,1,95.55,0,Quarterly,3,Gauteng,0.1028,0
29,29,9,2175.87,1,1,0.41,0,Annual,5,Limpopo,0.3817,1
30,39,54,1783.67,5,0,77.61,0,Annual,4,Eastern Cape,0.0356,0
31,61,120,310.22,2,0,3.13,0,Quarterly,5,KwaZulu-Natal,0.0362,0
32,42,119,1950.9,4,1,76.12,0,Monthly,4,Gauteng,0.2008,0
33,66,27,2029.5,4,0,93.79,1,Monthly,1,Limpopo,0.5173,1
34,44,34,1931.02,2,0,38.93,0,Quarterly,5,Western Cape,0.0322,0
35,59,115,329.22,2,2,24.1,0,Annual,1,KwaZulu-Natal,0.0748,0
36,45,1,1627.57,3,0,22.63,0,Quarterly,2,Eastern Cape,0.5675,0
37,33,32,2094.1,4,0,49.17,0,Monthly,5,Gauteng,0.1653,0
